Year,Ymd,AAVSO,AMERICAN,Difference,Percent
1946,1946-12-30,106,117,-11,-9.4
1947,1947-01-11,139,135,4,2.96
1947,1947-01-12,160,163,-3,-1.84
1947,1947-01-18,206,240,-34,-14.17
1947,1947-01-25,120,152,-32,-21.05
1947,1947-01-26,93,117,-24,-20.51
1947,1947-02-01,69,75,-6,-8
1947,1947-02-02,94,88,6,6.82
1947,1947-02-08,135,146,-11,-7.53
1947,1947-02-09,154,157,-3,-1.91
1947,1947-02-12,163,193,-30,-15.54
1947,1947-02-16,163,173,-10,-5.78
1947,1947-02-23,125,124,1,0.81
1947,1947-02-24,118,141,-23,-16.31
1947,1947-03-04,168,189,-21,-11.11
1947,1947-03-05,221,224,-3,-1.34
1947,1947-03-06,189,236,-47,-19.92
1947,1947-03-07,220,223,-3,-1.35
1947,1947-03-09,242,212,30,14.15
1947,1947-03-12,198,207,-9,-4.35
1947,1947-03-13,213,180,33,18.33
1947,1947-03-15,134,125,9,7.2
1947,1947-03-16,96,92,4,4.35
1947,1947-03-17,82,67,15,22.39
1947,1947-03-18,72,60,12,20
1947,1947-03-19,61,53,8,15.09
1947,1947-03-20,62,71,-9,-12.68
1947,1947-03-21,111,90,21,23.33
1947,1947-03-25,111,114,-3,-2.63
1947,1947-03-26,155,139,16,11.51
1947,1947-03-27,167,166,1,0.6
1947,1947-03-28,157,186,-29,-15.59
1947,1947-03-29,218,189,29,15.34
1947,1947-03-30,200,206,-6,-2.91
1947,1947-03-31,218,215,3,1.4
1947,1947-04-04,204,196,8,4.08
1947,1947-04-06,241,222,19,8.56
1947,1947-04-08,219,203,16,7.88
1947,1947-04-09,199,198,1,0.51
1947,1947-04-12,141,122,19,15.57
1947,1947-04-13,119,112,7,6.25
1947,1947-04-15,68,71,-3,-4.23
1947,1947-04-18,84,94,-10,-10.64
1947,1947-04-19,92,97,-5,-5.15
1947,1947-04-22,88,96,-8,-8.33
1947,1947-04-26,242,219,23,10.5
1947,1947-04-27,174,209,-35,-16.75
1947,1947-04-28,181,215,-34,-15.81
1947,1947-04-29,160,209,-49,-23.44
1947,1947-04-30,170,208,-38,-18.27
1947,1947-05-01,218,211,7,3.32
1947,1947-05-02,113,191,-78,-40.84
1947,1947-05-04,226,197,29,14.72
1947,1947-05-06,167,173,-6,-3.47
1947,1947-05-07,141,178,-37,-20.79
1947,1947-05-08,158,173,-15,-8.67
1947,1947-05-09,145,163,-18,-11.04
1947,1947-05-10,167,181,-14,-7.73
1947,1947-05-11,155,178,-23,-12.92
1947,1947-05-12,163,176,-13,-7.39
1947,1947-05-13,100,175,-75,-42.86
1947,1947-05-15,121,126,-5,-3.97
1947,1947-05-16,132,147,-15,-10.2
1947,1947-05-17,156,171,-15,-8.77
1947,1947-05-18,171,190,-19,-10
1947,1947-05-19,306,246,60,24.39
1947,1947-05-20,195,261,-66,-25.29
1947,1947-05-21,94,282,-188,-66.67
1947,1947-05-23,401,368,33,8.97
1947,1947-05-24,341,363,-22,-6.06
1947,1947-05-25,256,341,-85,-24.93
1947,1947-05-26,290,324,-34,-10.49
1947,1947-05-27,295,285,10,3.51
1947,1947-05-28,249,294,-45,-15.31
1947,1947-05-29,263,276,-13,-4.71
1947,1947-05-30,211,224,-13,-5.8
1947,1947-05-31,209,234,-25,-10.68
1947,1947-06-01,160,205,-45,-21.95
1947,1947-06-02,179,174,5,2.87
1947,1947-06-03,135,137,-2,-1.46
1947,1947-06-04,106,136,-30,-22.06
1947,1947-06-05,107,140,-33,-23.57
1947,1947-06-06,141,162,-21,-12.96
1947,1947-06-07,164,169,-5,-2.96
